,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school or less,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income less than 40,household income from 40 to 75,household income 75 and above,house value less than 100,house value for 100 to 500,house value 500 or more,rent less than 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income less than 10_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
Drinking,9.757198222666493e-05,0.00010856174675393432,0.000146708785200047,0.00023879179506880138,2.2943160375587004e-05,2.5141028807163671e-05,4.7143983301482223e-05,2.7351024833823152e-05,0.00018974856840946674,9.4869627026211744e-05,8.0244951268160583e-05,9.7537441318688311e-05,0.00024845714613738463,0.00051997722160908246,0.0014113830919334513,0.00010294802296479348,4.8650316995134925e-05,0.00011463854602740865,,6.4205705365425288e-05,0.018611491003307501,0.00027648585698698521,0.00046897125645011439,0.00010481919807679714,,,,0.00013029770784241996,0.00010688530685060594,0.00012108335795143785,0.00017585917371968778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP Inspection - F59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011431307713402936,0.00016054264514976289,0.00043438263020458077,0.00023252748026669119,0.0034389910538703047,7.6716325187793497e-05,0.00011065238662551783,0.00023897200926795842,0.0017362836002275965,0.0038173169046877052,0.0071232598126323311,0.0011017461287173135,,,0.00034356675281185583,0.00069285140268809248,0.018000769450214268,0.0011017461287173135,0.00067597422753739179,0.00067450976874322468,7.908467795093323e-05,,,,0.00031632036481404218,0.00017844060892127791,9.4717540870708052e-05,0.00051932135473567974
ELECTRIC,0.0027213393481651804,0.0030278502742797364,0.0040917933691142537,0.0066600420849309708,0.00053460621519900203,0.00058581947895497682,0.0010985176440220709,0.00063731533183993602,0.0044213945392088802,0.0026311790109496808,0.0022255682680519867,0.0028175062324577397,0.0071770342575781503,0.015020273679651523,0.040769786495783909,0.0027413152207517309,0.0012954678548685573,0.0031100301786177488,,0.0017418371764604435,0.5049113120775286,0.0064890169917007183,0.011006575471479811,0.0024600663657410766,,,,0.0029557419873199198,0.0024246427240913922,0.0027467188102463045,0.0047708851551924482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEVATOR,,,,,,,,,,,,,,,,,,,,,,0.00031049677988120481,0.00052666008515385866,0.00011771315837723917,,,,0.00014481139844566807,0.00011879112084649788,0.00013457067421823545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrical,0.00055458939958626368,0.00061705412328752225,0.00083387807894599549,0.0013572687079953694,,,,,,0.0004829841346615986,0.00040852946895750318,,,,,0.00055135328778262551,0.00026055393250347099,0.00061311573591781086,,0.00034338823772095861,0.09953892820912405,0.0014722654014641223,0.002497234985821219,0.00055815397004175659,,,,0.00071066255651851913,0.00058296793303978984,0.0006604061586231631,0.00094053902853291247,,,,,,,,,,,,,,,,,,0.0018546873409907778,0.0037402417877640606,0.097174126873937297,,,,,,,,,,,0.0028034690046446478
Elevator,,,,,,,,,,0.00085023425862739777,0.00071916596268714736,,,,,0.00085057348430156378,0.0004019569142486492,0.001006763804051438,,0.0005638590370820539,0.16344742785798327,0.0023758084727193048,0.0040298114944391046,0.00090069829107468618,,,,0.0010784654743572577,0.0008846825862345027,0.0010021989122617075,0.0015444076782781713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOORING/STAIRS,0.002317268080592262,0.0025782674983667918,0.0034842336634791499,0.005671142391417373,0.00047080580540270897,0.00051590722997361081,0.00096741951260401811,0.00056125751922039401,0.003893741146014386,,,,,,,0.0020853777323603393,0.0009854903942023421,0.002544438867372413,,0.0014250659826040568,0.41308794231606361,0.0054529319930660819,0.0092491832891315046,0.0020672737654982582,,,,0.002427616205848724,0.001991412645504489,0.0022559408518297479,0.003903250104806702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Alarm - Modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001026755821578199,5.7920688768675701e-05,3.0744712422085981e-05,
Fire Alarm - Reinspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014776551222010282,0.0002408928877175956,0.0005482558991214278,3.85458784699249e-05,5.4134290182106229e-05,0.00014647195660458484,7.8407267304762238e-05,0.0011596130079345303,2.6673600277449482e-05,3.8472874233351313e-05,8.2583731039500424e-05,0.00060002331774643104,0.0013191849267827054,0.0024616496898232591,0.0004536125181351635,4.2431680999540343e-05,2.744135184171435e-05,0.00011471989256963631,0.00023134904012853293,0.006010611680549411,0.0004536125181351635,0.00027831309187779647,0.00027771014277363154,3.2560858600879881e-05,0.00039533710561002349,5.4530396577062166e-05,2.7223965397087263e-05,0.0001230085809128498,6.939080919919578e-05,3.6833133702631036e-05,0.00017340586519738288
Fire Safety Director - F58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024165242098188912,0.0039395085253428851,0.0089660546192233265,0.00044853991661801789,0.00062993479376537934,0.001704423969830111,0.00091238779696160876,0.013493860888238736,0.00030242209007396489,0.00043620084712146811,0.0010262401624869305,0.0074562873261988872,0.016393066001877055,0.030590090153008488,0.004806202655584395,0.00076304131032870924,0.00049347290923307252,0.0014820753299019341,0.0029888164754239208,0.077651565825476318,0.004806202655584395,0.0029488364359212729,0.0029424479535276795,0.0003449950757951222,0.0059999769271891238,0.00082760033563758267,0.00041317438189130415,0.0013981542845606632,0.00078871779896171621,0.00041865700195838681,0.0022402440336434168
