,Unnamed: 0,BoroCT2010,311 calls,Total Households,Median Income,Total cars,Total educated,Total High School,Total bachelors,Total masters,Total PHD,Median Age,Total households,Total family households,Total non-family households,Median House Value,Total Hunits,Owner Occupied,Renter Occupied,Total Population,White only,Black only,Asian only,Hispanic only,Other Only,Median Rent,Normalized 311 calls,Normalized cars,Normalized High school,Normalized bachelors,Normalized masters,Normalized PHD,Normalized familiy household,Normalized non-family household,Normalized owner ocuppied,Normalized renter ocuppied,Normalized white only,Normalized black only,Normalized asian only,Normalized hispanic only,Normalized other only
1271,1271,3112200,892,1073.0,29950.0,567.0,2015.0,499.0,87.0,68.0,0.0,33.5,1073.0,920.0,153.0,390000.0,3412.0,588.0,2824.0,3456.0,178.0,2646.0,50.0,582.0,0.0,1233.0,0.258101851852,0.528424976701,144.386574074,25.1736111111,19.6759259259,0.0,0.857409133271,0.142590866729,0.172332942556,0.827667057444,0.0515046296296,0.765625,0.0144675925926,0.168402777778,0.0
1272,1272,3112400,1093,1109.0,40580.0,559.0,1872.0,602.0,187.0,122.0,0.0,29.9,1109.0,864.0,245.0,460800.0,3263.0,1286.0,1977.0,3361.0,3.0,3056.0,0.0,298.0,4.0,1153.0,0.325200833085,0.504057709648,179.113359119,55.6382029158,36.2987206189,0.0,0.77908025248,0.22091974752,0.394115844315,0.605884155685,0.000892591490628,0.909253198453,0.0,0.088664088069,0.0011901219875
1273,1273,3112600,1026,1261.0,38902.0,772.0,2138.0,751.0,81.0,34.0,0.0,27.7,1261.0,906.0,355.0,383900.0,3936.0,812.0,3124.0,3936.0,134.0,2727.0,19.0,1056.0,0.0,1154.0,0.260670731707,0.612212529738,190.802845528,20.5792682927,8.63821138211,0.0,0.71847739889,0.28152260111,0.206300813008,0.793699186992,0.0340447154472,0.692835365854,0.00482723577236,0.268292682927,0.0
1274,1274,3112800,1241,1410.0,38235.0,746.0,2317.0,665.0,281.0,26.0,11.0,31.6,1410.0,1019.0,391.0,433900.0,3898.0,1241.0,2657.0,3898.0,88.0,2993.0,84.0,701.0,32.0,1175.0,0.318368394048,0.529078014184,170.60030785,72.0882503848,6.67008722422,2.82195997948,0.722695035461,0.277304964539,0.318368394048,0.681631605952,0.0225756798358,0.767829656234,0.0215495125705,0.179835813238,0.00820933812211
1275,1275,3113000,1106,1402.0,28500.0,601.0,2252.0,721.0,202.0,79.0,22.0,25.8,1402.0,979.0,423.0,360500.0,4347.0,725.0,3622.0,4347.0,17.0,3374.0,0.0,956.0,0.0,1100.0,0.254428341385,0.428673323823,165.861513688,46.4688290775,18.1734529561,5.0609615827,0.698288159772,0.301711840228,0.166781688521,0.833218311479,0.00391074304118,0.77616747182,0.0,0.219921785139,0.0
1276,1276,3113200,702,680.0,53587.0,619.0,1331.0,327.0,163.0,22.0,0.0,37.0,680.0,529.0,151.0,335100.0,2011.0,1178.0,833.0,2011.0,0.0,1331.0,0.0,645.0,35.0,1220.0,0.349080059672,0.910294117647,162.605668821,81.0542018896,10.9398309299,0.0,0.777941176471,0.222058823529,0.585778219791,0.414221780209,0.0,0.661859771258,0.0,0.320735952263,0.0174042764794
1277,1277,3113400,357,854.0,17308.0,167.0,1542.0,452.0,56.0,41.0,7.0,25.4,854.0,560.0,294.0,390000.0,2497.0,162.0,2335.0,3000.0,25.0,1777.0,0.0,1175.0,23.0,658.0,0.119,0.195550351288,150.666666667,18.6666666667,13.6666666667,2.33333333333,0.655737704918,0.344262295082,0.0648778534241,0.935122146576,0.00833333333333,0.592333333333,0.0,0.391666666667,0.00766666666667
1278,1278,3114201,587,531.0,37048.0,519.0,1104.0,211.0,61.0,137.0,0.0,31.9,531.0,399.0,132.0,421700.0,1841.0,1114.0,727.0,1855.0,205.0,344.0,9.0,1278.0,19.0,1147.0,0.316442048518,0.977401129944,113.746630728,32.884097035,73.8544474394,0.0,0.751412429379,0.248587570621,0.605105920695,0.394894079305,0.11051212938,0.185444743935,0.00485175202156,0.688948787062,0.0102425876011
1279,1279,3114202,552,846.0,36333.0,489.0,1440.0,418.0,131.0,39.0,8.0,36.1,846.0,547.0,299.0,346000.0,2207.0,674.0,1533.0,2212.0,48.0,878.0,21.0,1228.0,37.0,1079.0,0.249547920434,0.578014184397,188.96925859,59.2224231465,17.6311030741,3.61663652803,0.646572104019,0.353427895981,0.305391934753,0.694608065247,0.0216998191682,0.396925858951,0.00949367088608,0.555153707052,0.0167269439421
1280,1280,3114400,826,786.0,24333.0,235.0,1417.0,426.0,71.0,42.0,0.0,25.8,786.0,595.0,191.0,431400.0,2523.0,319.0,2204.0,2700.0,23.0,1692.0,0.0,938.0,47.0,1149.0,0.305925925926,0.298982188295,157.777777778,26.2962962963,15.5555555556,0.0,0.756997455471,0.243002544529,0.126436781609,0.873563218391,0.00851851851852,0.626666666667,0.0,0.347407407407,0.0174074074074
