,Neighborhood,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,cars per capita,transportation car_n,transportation public_n,tranportation motorcycle_n,total workers,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,Transportation Other means_n,rent 2000 or more_n
118,North Corona,1830.616687,2593.19974,782.183573,1228.584191,859.8281731,914.102754,2062.120171,141.3647111,3557.97279,1638.02721,1240.280014,769.0827854,339.1878064,40.44155757,720.8811249,1721.993213,2997.919167,1173.93379,1243.408777,1064.041097,13.90101587,5229,2503.754312,1996.579857,2825.631533,297.8264481,2619.453653,2206.719899,1324.097679,3158.859217,320.3158424,705.0431039
119,North Riverdale-Fieldston-Riverdale,4372.890506,6812.094664,2486.014829,5070.27681,2887.931005,920.9472735,4497.316299,294.5286122,8586.896468,5047.103532,2752.583176,2387.743763,1362.335418,239.2645482,2246.888381,4688.628329,7571.571836,2674.48633,3945.884359,2572.579893,26.08094248,13678,6480.080742,5254.81571,9045.302032,1236.094083,7558.578991,4513.326927,4005.122312,7739.276601,869.7836616,1881.601089
120,North Side-South Side,16160.04348,20316.9522,6077.004317,16253.98864,9951.806503,4358.265059,10979.38011,1010.559689,26555.60469,15955.39531,9384.79432,7551.099108,3403.53102,392.843406,7634.929263,11916.23916,26298.3677,9217.008627,8749.828456,8788.280152,219.3882259,42667,22464.67738,17093.69793,27262.61829,2473.385992,18162.97723,21129.63678,13152.82603,22955.40432,3578.234496,6381.769646
121,Norwood,12202.76132,18732.30569,6292.932991,10449.1828,9960.551579,2601.206513,13377.1307,839.9284127,24087.98321,13104.01679,8284.074488,5725.879801,2861.80036,404.1266852,6505.921794,11756.41656,21953.02941,7356.594408,10223.05834,6815.151608,52.65144122,37236,18817.25052,14355.67411,20962.92124,3772.581454,21798.13185,10763.28669,11766.17986,21333.09995,2288.644195,4080.720192
122,Oakland Gardens,1292.460354,2232.633152,775.9064945,1490.533352,741.2541171,967.7137291,952.2977728,149.2010296,2989.111767,1304.888233,980.3546908,787.6366349,377.9703623,45.83510197,530.1310806,2053.111428,1893.983775,910.8733348,1484.263079,805.3972631,7.00289675,4309,1785.164084,1538.738865,2657.42121,211.5455355,2184.227824,1850.226641,1030.913667,2585.890522,208.1378393,663.1958108
123,Oakwood-Oakwood Beach,792.9714091,1475.502628,527.525963,1779.710911,253.9829449,243.5395975,471.9686379,46.79790828,2029.644907,766.3550932,744.4675099,480.8611744,236.5945595,24.27068929,252.7308701,1673.267154,888.2258717,583.7902905,1206.04576,480.1019096,3.446148348,2797,963.917284,888.7351013,1888.629644,109.1371255,1600.741311,1071.121563,753.2703354,1674.199615,108.5969361,367.5300491
124,Ocean Hill,2458.507707,3428.193004,1020.299289,1547.813644,2893.312556,562.5189593,1724.377281,178.977559,4553.154271,2344.845729,1710.447263,981.7317348,443.7697572,48.83019287,1372.45437,2005.077327,4160.856755,1525.416463,1438.71423,1415.221519,20.14191706,6925,3554.46577,2665.459553,3487.039252,400.8734428,3411.463528,2869.663029,2311.115047,3938.905072,392.1496632,633.9798807
125,Ocean Parkway South,3831.794421,5746.580736,2070.624843,5505.68958,2384.03548,1395.15892,2145.794253,218.3217665,7891.782631,3740.217369,2832.468286,1939.22611,892.6292062,104.4365892,1982.687402,3775.718438,6754.148653,2443.434024,2654.887517,2230.740254,26.78943589,11663,5907.120208,4234.718018,5621.264423,692.2836271,4643.511388,6106.204985,3435.474009,7246.297267,779.1157811,947.2287241
126,Old Astoria,4142.878589,5939.023781,1883.097629,3838.619039,2769.789625,1485.819105,3551.226978,319.5452531,7647.971692,4299.028308,2653.343636,2104.583803,972.672623,122.5621111,2007.171931,3786.965147,6996.113413,2619.084107,2877.014742,2431.518656,32.60686424,12022,6002.738315,4771.145112,7396.196362,736.1300799,5795.933263,5137.936658,3392.949981,6932.874501,760.2988499,1606.175518
127,Old Town-Dongan Hills-South Beach,4243.384583,7537.029647,2557.58577,8541.944701,1595.14361,1367.169398,2576.42072,257.3215724,10266.53769,4055.462308,3796.049114,2443.040643,1182.975316,122.5034543,1508.703525,8289.632775,4791.231196,3141.010562,5859.117334,2475.849714,15.14271001,14358,5103.236069,4613.715696,9523.665489,580.8110205,8585.645541,5092.543439,4199.788749,8418.030927,549.8902621,1697.180325
128,Ozone Park,1351.722712,2187.888641,690.3886471,1311.121593,1013.026663,603.4651288,1125.691022,176.6955934,3022.377142,1206.622858,1087.288442,648.1293091,285.9681774,30.1917543,540.2165341,1864.748141,1958.618845,927.6503424,1318.984894,826.517311,7.777614046,4258,1752.693777,1553.623436,2339.896847,212.6366579,2351.969511,1604.393831,1020.055531,2730.878434,193.7769467,461.0660355
129,Park Slope-Gowanus,17694.24939,25268.98882,7790.761783,19861.23987,12937.46517,5649.353619,11032.39606,1273.545285,32133.71139,18576.28861,11021.00048,9452.414747,4793.376439,586.6732788,8273.245263,16808.81165,28864.2268,11364.93632,11567.97345,10917.9355,214.425831,50859,24254.1393,19812.27569,33765.80125,2829.356531,21059.87624,26012.76723,14475.76671,28604.38759,3519.499078,7577.845701
130,park-cemetery-etc-Bronx,736.5139987,1128.19844,380.2875613,785.2732462,449.3206943,180.9579703,779.2920899,50.15599941,1431.01027,811.9897303,488.731453,365.1271728,190.3061911,27.5150545,395.419169,758.5951808,1272.013418,437.9716768,653.986962,417.2094086,4.21597532,2252,1112.287795,864.8146274,1344.695566,203.9030341,1312.69013,686.4068356,674.1204935,1293.969235,139.8512988,273.9102716
